filename,algo2_topics,algo3_topics,algo2_avg_duration,algo3_avg_duration,algo2_avg_sentences,algo3_avg_sentences,duration
audio_001_16k_mono_clean_norm_trim_chunk_208_cleaned.json,1,2,24.44,11.73,8.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_209_cleaned.json,1,2,24.06,11.69,6.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_210_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_211_cleaned.json,1,1,24.74,24.74,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_212_cleaned.json,1,1,24.94,24.94,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_213_cleaned.json,1,1,11.92,11.92,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_combined_cleaned.json,12,113,8.208333333333334,1.8893805309734513,70.5,7.486725663716814,0
audio_002_16k_mono_clean_norm_trim_chunk_001_cleaned.json,1,1,16.34,16.34,4.0,4.0,0
audio_002_16k_mono_clean_norm_trim_chunk_002_cleaned.json,1,2,24.9,12.23,10.0,5.0,0
audio_002_16k_mono_clean_norm_trim_chunk_003_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_002_16k_mono_clean_norm_trim_chunk_004_cleaned.json,1,1,24.16,24.16,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_005_cleaned.json,1,1,24.62,24.62,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_006_cleaned.json,1,1,24.76,24.76,6.0,6.0,0
audio_002_16k_mono_clean_norm_trim_chunk_007_cleaned.json,1,1,21.1,21.1,5.0,5.0,0
audio_002_16k_mono_clean_norm_trim_chunk_008_cleaned.json,1,1,24.94,24.94,8.0,8.0,0
audio_002_16k_mono_clean_norm_trim_chunk_009_cleaned.json,1,1,24.92,24.92,2.0,2.0,0
audio_002_16k_mono_clean_norm_trim_chunk_010_cleaned.json,1,2,24.98,12.32,5.0,2.5,0
audio_002_16k_mono_clean_norm_trim_chunk_011_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_002_16k_mono_clean_norm_trim_chunk_012_cleaned.json,1,1,24.9,24.9,7.0,7.0,0
audio_002_16k_mono_clean_norm_trim_chunk_013_cleaned.json,1,3,24.98,7.699999999999999,13.0,4.333333333333333,0
audio_002_16k_mono_clean_norm_trim_chunk_014_cleaned.json,1,1,24.68,24.68,6.0,6.0,0
audio_002_16k_mono_clean_norm_trim_chunk_015_cleaned.json,1,1,24.9,24.9,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_016_cleaned.json,1,1,24.44,24.44,4.0,4.0,0
audio_002_16k_mono_clean_norm_trim_chunk_017_cleaned.json,1,1,24.6,24.6,5.0,5.0,0
audio_002_16k_mono_clean_norm_trim_chunk_018_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_019_cleaned.json,1,1,24.98,24.98,6.0,6.0,0
audio_002_16k_mono_clean_norm_trim_chunk_020_cleaned.json,1,1,24.98,24.98,3.0,3.0,0
audio_002_16k_mono_clean_norm_trim_chunk_021_cleaned.json,1,1,24.72,24.72,3.0,3.0,0
audio_002_16k_mono_clean_norm_trim_chunk_022_cleaned.json,1,1,24.98,24.98,8.0,8.0,0
audio_002_16k_mono_clean_norm_trim_chunk_023_cleaned.json,1,1,24.82,24.82,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_024_cleaned.json,1,1,24.98,24.98,3.0,3.0,0
audio_002_16k_mono_clean_norm_trim_chunk_025_cleaned.json,1,1,24.76,24.76,2.0,2.0,0
audio_002_16k_mono_clean_norm_trim_chunk_026_cleaned.json,1,1,24.86,24.86,5.0,5.0,0
audio_002_16k_mono_clean_norm_trim_chunk_027_cleaned.json,1,2,24.16,11.81,8.0,4.0,0
audio_002_16k_mono_clean_norm_trim_chunk_028_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_029_cleaned.json,1,1,24.36,24.36,1.0,1.0,0
audio_002_16k_mono_clean_norm_trim_chunk_030_cleaned.json,1,1,24.18,24.18,7.0,7.0,0
audio_002_16k_mono_clean_norm_trim_chunk_031_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_002_16k_mono_clean_norm_trim_chunk_032_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
